,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
GRID61,48.2055567632,61.5698810142,33.5923619614,1.0,-31.2232780932,-37.7272695843,76.6256563365
GRID62,51.355482726,6376.39816033,34.6590595304,1.0,-32.3410051922,-28.1722619743,73.5478140207
GRID63,117.558468574,933.485537684,37.4477658594,1.0,-35.2839682766,-19.1503161479,74.3681724493
GRID64,88.4256163185,11662.3212367,30.9714339157,1.0,-35.025680507,-7.60072898618,70.7767775955
LAT1,40.1777980491,8.53060777057,28.7690579824,1.0,-18.329676482,-7.71393007731,-53.0601368649
LAT2,57.6546356791,4.58959755568,41.7780565865,1.0,-29.4617429,-5.19465980402,-56.6132653699
LAT3,57.2915853966,8.61738351732,38.092878463,1.0,-40.4840439784,-7.87796618645,-54.9494674415
LAT4,56.6477927895,6.78565096271,39.6608154562,1.0,-46.5319323617,-12.0678665393,-52.7943876357
LAT5,39.4405028068,10.8039900248,25.0182373232,1.0,-53.1121457997,-16.2401174607,-48.2746095154
LAT6,40.995721957,9.99335673504,25.3992145769,1.0,-62.0458956049,-15.103484833,-39.66538409
LAT7,49.2603742681,13.1014482028,30.4640679869,1.0,-65.2587593168,-12.759426261,-27.0009498027
LAT8,41.0841646282,364.706616249,25.3730500328,1.0,-66.718617116,-16.0422273732,-14.7962480164
LMT1,42.4203332239,11.097550513,29.4047383421,1.0,-14.4698763892,-34.5029399733,-22.8869103043
LMT2,44.8955487583,13.6726141506,34.0032435711,1.0,-23.7121496063,-34.0960785076,-31.3257572383
LMT3,59.7926658276,2.89705727121,47.0585027292,1.0,-32.393759042,-32.6306344733,-35.9344149955
LMT4,57.3855896058,3.36709473402,44.0689875893,1.0,-41.1942268802,-32.3908193675,-34.9359234232
LMT5,63.8279061185,4.14220456803,47.0784799702,1.0,-49.8373791876,-35.9213263011,-35.4353875398
LMT6,57.3128678286,6.17428791712,43.4244645893,1.0,-62.2794380997,-39.2838122348,-24.7113833255
LMT7,53.2748181407,21.4242600882,35.7358694378,1.0,-67.2358232001,-35.9038187503,-15.7308931869
LMT8,46.9411526792,34.1830076437,26.5698534662,1.0,-69.4119324886,-41.458682021,-2.89699048491
LAD1,0.0,-3.0,0.0,0.0,,,
LAD2,0.0,-3.0,0.0,0.0,,,
LAD3,0.0,-3.0,0.0,0.0,,,
LAD4,0.0,-3.0,0.0,0.0,,,
LAD5,0.0,-3.0,0.0,0.0,,,
LAD6,0.0,-3.0,0.0,0.0,,,
LAD7,0.0,-3.0,0.0,0.0,,,
LAD8,0.0,-3.0,0.0,0.0,,,
LPD1,0.0,-3.0,0.0,0.0,,,
LPD2,0.0,-3.0,0.0,0.0,,,
LPD3,0.0,-3.0,0.0,0.0,,,
LPD4,0.0,-3.0,0.0,0.0,,,
LPD5,0.0,-3.0,0.0,0.0,,,
LPD6,0.0,-3.0,0.0,0.0,,,
LPD7,0.0,-3.0,0.0,0.0,,,
LPD8,0.0,-3.0,0.0,0.0,,,
