,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
Grid1,53.9828641521,4.75303136187,44.1783937008,0.0,-31.199421297,-87.9934120939,46.4475088366
Grid2,62.6347553639,4.15763093738,49.2445026695,1.0,-40.970005563,-84.3460938131,41.0155096217
Grid3,69.2273012568,4.17195700608,50.3074745659,1.0,-46.937905701,-83.6373594571,30.5795317147
Grid4,65.1421220243,13.4831755818,53.13223862,1.0,-54.5749028801,-77.4340874211,26.3275243696
Grid5,65.5941382853,102.163887585,43.2498980879,1.0,-59.8250411781,-72.7584568634,15.7417928174
Grid6,83.0269843975,46.8646838173,52.1348668419,1.0,-64.9876405881,-65.7085104956,6.133287974
Grid7,73.8111865685,23.5736017211,48.4396414204,1.0,-67.7034337192,-59.7801029457,-3.14559526162
Grid8,104.248918679,12.4341226813,58.6398914143,1.0,-69.6850617126,-51.9571382951,-15.1289279287
Grid9,58.324132212,2.6156699526,47.1463268034,1.0,-31.9097510945,-81.3990621781,54.8588593979
Grid10,66.9966661359,4.78816040589,47.3936421902,1.0,-42.7164572114,-77.9044555187,50.5413783267
Grid11,80.5761603909,4.36302011639,56.2463411041,1.0,-51.5739661649,-75.2472706342,42.797312814
Grid12,87.1255212607,12.2715721176,57.678444453,1.0,-57.4757034163,-71.0031984565,33.0319748151
Grid13,92.3806540348,11.2805259812,52.0862733238,1.0,-63.5048635916,-64.949241637,23.8624125641
Grid14,79.3033924423,16.7123368621,46.4060815859,1.0,-68.0749414677,-58.6578542374,14.6670590685
Grid15,74.5325115785,66.6685722021,43.4202242506,1.0,-70.2500805808,-52.320760521,5.22030777574
Grid16,65.8370796633,445.038795227,42.6407456491,0.0,-72.0139131913,-44.7961205329,-4.84700104756
Grid17,46.3409329943,6.47615746695,30.6650309149,1.0,-32.996751245,-73.2029054611,63.8618993197
Grid18,39.1994142569,3.8506178001,28.9001988344,1.0,-44.2863981909,-68.9069165178,60.2129825675
Grid19,71.2876462179,3.97730746675,53.5833405281,1.0,-53.9963448439,-66.5711362449,52.5525463209
Grid20,72.7650734121,42.7652348364,47.6008291832,1.0,-60.496552633,-63.4207819595,42.0183408059
Grid21,65.9607027286,57.4084443071,48.2385201336,1.0,-66.2408315323,-55.7651367228,33.6792761512
Grid22,70.4870773054,20.0481827729,40.080217333,1.0,-70.187221131,-50.232384557,23.2947699096
Grid23,67.8866112817,92.5680388738,38.5462822289,1.0,-71.7376218315,-41.438703267,14.9585472561
Grid24,55.4264358955,141.395808525,38.1970361126,0.0,-72.7047170732,-33.9628282177,2.95500350497
Grid25,31.3998631909,12.1704734414,20.184254732,1.0,-32.8642823653,-63.2662509163,70.5206101403
Grid26,29.0256420247,6.25091792776,20.1037526299,1.0,-42.4548808344,-60.0320398168,65.1803593089
Grid27,49.3299820557,3.18610874124,39.446274678,1.0,-52.398577037,-59.925032075,60.6655362362
Grid28,53.0649709975,7.41832200616,33.767335671,1.0,-61.7518989545,-54.9079899059,51.2680117124
Grid29,50.7386077508,8.22353965373,32.9845951618,1.0,-66.875119221,-48.5608653139,40.5206992683
