,SD_channels,Kurt_channels,standardizeDenoms,goodChanInds,X,Y,Z
L Grid60,58.658865286,8.51941525666,44.0514154221,1.0,-67.3865316156,-54.6791067114,3.14329848662
L Grid61,48.7675561998,4.34457567707,39.7762547539,1.0,-63.7668261391,-66.7468152074,1.06991296027
L Grid62,44.9863610778,2.80687095019,38.0999537064,1.0,-57.0667721038,-75.4079609886,-3.08752597055
L Grid63,54.7814888611,2.10579684508,46.2846699005,1.0,-49.8638269721,-82.8439184841,-5.22451909413
L Grid64,61.7028386912,1.61139604137,53.0355153488,1.0,-43.2280162844,-90.0206404488,-8.1496098824
LO1,76.2285631176,3.20451473141,55.8303100067,1.0,-25.6485874297,-73.2377135441,-16.9498164913
LO2,65.0235622875,5.9335911507,53.2799760361,1.0,-21.0881290672,-79.7883606029,-16.1529706354
LO3,86.0758401892,2.68804388663,73.7619516083,1.0,-13.1531113632,-87.6568735499,-17.390264472
LO4,105.36271082,2.86889960533,83.5563111214,1.0,-5.86943451294,-98.1378218204,-12.7518055718
LO5,88.4712400571,3.41963647983,69.6007753166,1.0,-7.52921582031,-102.865826935,-1.96153443414
LO6,79.6547741509,3.2268932097,66.8275796631,1.0,-14.4546631197,-103.468575719,11.7505817145
LO7,46.4401282889,16.8184586096,40.4482134098,1.0,-18.7701874121,-100.671280446,20.1767946735
LO8,28.7900660687,98.1594441903,23.3742655003,1.0,-24.2132861531,-95.5940318294,29.7699564306
LO9,82.3569484163,3.87927322861,65.8346928314,1.0,-19.3717985254,-66.4737225405,-13.7638925804
LO10,79.0127035185,2.61351612661,59.3766301163,1.0,-13.0511804785,-75.9892229949,-13.3046988902
LO11,55.6002461204,3.22164063932,41.1166089935,1.0,-5.42426909877,-83.6308085241,-12.4580806992
LO12,77.6457771615,2.84329776876,53.7649723755,1.0,-0.408549850388,-91.4090280282,-8.27036637371
LO13,87.8451633735,3.54399709343,59.8677741692,1.0,0.0715300091385,-94.8565457462,1.75710197712
LO14,69.9731236887,2.62596676005,51.0717083084,1.0,-2.57308029403,-97.638471789,14.6493248614
LO15,61.8026132971,2.20338371846,46.2985093254,1.0,-8.6388410439,-98.9521971818,26.5233493851
LO16,54.1274232836,1.7141515732,42.5257983948,1.0,-15.5342743075,-96.0385405203,34.819318799
